"","date","owned_tweets_about_games","owned_retweets_about_games","owned_favorites_about_games","owned_replies_about_games","owned_tweets_total","owned_retweets_total","owned_favorites_total","owned_replies_total","paid_volume","paid_retweets","paid_favorites","paid_replies","negative_comments","neutral_comments","positive_comments","ups_comments","mean_sentiment_comments","earned_volume_comments","news_volume","earnings","press_release_volume","trailer","launch","teaser","convention","expansions_dlc","week","year","EAprice","EAtrading_volume"
"1",2017-01-01,1,552,1656,55,15,1725,7026,1093,0,0,0,0,59,58,112,6450,0.190146288209607,229,0,0,0,0,0,0,0,0,1,2017,NA,NA
"2",2017-01-02,11,2,10,7,474,1181,5145,760,0,0,0,0,123,83,141,1730,0.0406230547550432,347,0,0,0,0,0,0,0,0,1,2017,NA,NA
"3",2017-01-03,11,515,1496,44,896,4507,12555,1541,0,0,0,0,102,187,260,10634,0.203569034608379,549,0,0,0,0,0,0,0,0,1,2017,79.169998,2187300
"4",2017-01-04,16,8268,15187,1274,980,10904,24958,3866,0,0,0,0,270,227,600,3953,0.217685141294439,1097,2,0,0,0,0,0,0,0,1,2017,80.629997,1852300
"5",2017-01-05,19,897,2737,114,942,8182,23826,4356,0,0,0,0,873,633,1513,25434,0.134706425968864,3019,3,0,1,0,0,0,0,0,1,2017,78.959999,3295000
"6",2017-01-06,15,198,721,46,691,3682,14445,2493,0,0,0,0,348,224,581,3970,0.138589071986123,1153,5,0,0,0,0,0,0,0,1,2017,79.010002,2017700
"7",2017-01-07,4,482,1811,72,178,3249,12094,1222,0,0,0,0,348,402,633,8635,0.135241359363702,1383,0,0,0,0,0,0,0,0,1,2017,NA,NA
"8",2017-01-08,2,282,993,35,95,4124,13285,849,0,0,0,0,234,162,426,7094,0.158205839416058,822,0,0,0,0,0,0,0,0,2,2017,NA,NA
"9",2017-01-09,15,1,8,9,623,14501,38188,3317,0,0,0,0,210,164,318,4518,0.0949998554913295,692,2,0,0,0,0,0,0,0,2,2017,78.639999,2332300
"10",2017-01-10,8,192,785,27,718,5709,15526,1721,0,0,0,0,46,44,111,547,0.199644278606965,201,2,0,1,0,0,0,0,0,2,2017,78.849998,2328900
"11",2017-01-11,12,396,1654,62,1018,4785,20350,2128,0,0,0,0,14,8,14,33,-0.005525,36,1,0,0,0,0,0,0,0,2,2017,79.019997,2618900
"12",2017-01-12,10,54,318,33,861,3272,13908,1812,0,0,0,0,166,103,303,15932,0.18842465034965,572,3,0,0,0,0,0,0,0,2,2017,79.599998,2035700
"13",2017-01-13,12,71,292,19,778,6339,26778,2064,0,0,0,0,220,133,412,2532,0.173357516339869,765,1,0,0,0,0,0,0,0,2,2017,80.349998,2818000
"14",2017-01-14,1,112,459,21,173,3944,13657,1140,0,0,0,0,15,14,47,300,0.273114473684211,76,0,0,0,0,0,0,0,0,2,2017,NA,NA
"15",2017-01-15,2,177,681,47,85,2024,9363,842,0,0,0,0,10,21,50,215,0.311876543209877,81,0,0,0,0,0,0,0,0,3,2017,NA,NA
"16",2017-01-16,13,218,983,99,567,4498,10723,2889,0,0,0,0,11,11,27,73,0.127869387755102,49,0,0,0,0,0,0,0,0,3,2017,NA,NA
"17",2017-01-17,14,402,1610,72,930,27690,45944,2414,0,0,0,0,18,3,13,18,-0.0679470588235294,34,1,0,0,0,0,0,0,0,3,2017,80.230003,2073300
"18",2017-01-18,17,0,12,11,993,2426,9211,1498,0,0,0,0,7,3,7,19,0.0547647058823529,17,3,0,2,0,0,0,0,0,3,2017,80.529999,1926600
"19",2017-01-19,10,0,6,11,821,2882,11049,1591,0,0,0,0,5,3,28,72,0.435130555555556,36,4,0,0,0,0,0,0,0,3,2017,80.379997,1746100
"20",2017-01-20,11,74,301,12,768,4850,18820,1742,0,0,0,0,2,2,8,16,0.2642,12,0,0,0,0,0,0,0,0,3,2017,80.120003,2642900
"21",2017-01-21,2,0,5,2,135,1951,9624,769,0,0,0,0,1,1,0,2,-0.2294,2,1,0,0,0,0,0,0,0,3,2017,NA,NA
"22",2017-01-22,0,0,0,0,76,12308,21593,1030,0,0,0,0,4,0,9,27,0.284869230769231,13,1,0,0,0,0,0,0,0,4,2017,NA,NA
"23",2017-01-23,12,3,12,8,833,3908,11609,1325,0,0,0,0,36,58,94,2853,0.20618670212766,188,1,0,0,0,0,0,0,0,4,2017,79.879997,2672200
"24",2017-01-24,17,1,14,13,729,1957,9180,2453,0,0,0,0,180,207,397,6123,0.181317729591837,784,1,0,0,0,0,0,0,0,4,2017,80.510002,2004300
"25",2017-01-25,9,2161,4792,251,836,6986,24287,2356,0,0,0,0,33,22,69,207,0.166656451612903,124,1,0,0,0,0,0,0,0,4,2017,81.480003,2727000
"26",2017-01-26,7,3799,7200,560,929,11326,21815,2204,0,0,0,0,36,22,56,382,0.143750877192982,114,8,0,1,0,0,0,0,0,4,2017,81.699997,1854400
