"date","owned_tweets_about_games","owned_retweets_about_games","owned_favorites_about_games","owned_replies_about_games","owned_tweets_total","owned_retweets_total","owned_favorites_total","owned_replies_total","paid_volume","paid_retweets","paid_favorites","paid_replies","negative_comments","neutral_comments","positive_comments","ups_comments","mean_sentiment_comments","earned_volume_comments","news_volume","earnings","press_release_volume","trailer","launch","teaser","convention","expansions_dlc","week","year","EAprice","EAtrading_volume","launch_period","positive_pct","negative_pct"
2017-05-25,2,181,636,38,20,1797,8613,1228,0,0,0,0,23,17,23,260,0.0165285714285714,63,6,0,1,0,0,0,0,0,21,2017,113.830002,3419800,"Pre-Launch",0.365079365079365,0.365079365079365
2017-05-26,4,1284,3866,232,37,5697,22583,2041,0,0,0,0,78,62,103,1318,0.0967530864197531,243,4,0,0,0,0,0,0,0,21,2017,112.129997,2212500,"Pre-Launch",0.423868312757202,0.320987654320988
2017-05-27,3,466,1702,46,22,1126,6453,375,0,0,0,0,72,72,142,624,0.169645804195804,286,0,0,0,0,0,0,0,0,21,2017,NA,NA,"Pre-Launch",0.496503496503497,0.251748251748252
2017-05-28,0,0,0,0,19,649,4457,437,0,0,0,0,43,51,120,1234,0.202657009345794,214,0,0,0,0,0,0,0,0,22,2017,NA,NA,"Pre-Launch",0.560747663551402,0.200934579439252
2017-05-29,2,119,594,19,36,897,7252,606,0,0,0,0,2,1,11,21,0.425221428571429,14,0,0,0,0,0,0,0,0,22,2017,NA,NA,"Pre-Launch",0.785714285714286,0.142857142857143
2017-05-30,1,58,296,11,35,2087,9052,817,0,0,0,0,18,28,38,195,0.161708333333333,84,5,0,0,0,0,0,0,0,22,2017,112.849998,2360100,"Pre-Launch",0.452380952380952,0.214285714285714
2017-05-31,2,108,343,46,47,5860,20752,2411,0,0,0,0,2,5,9,15,0.18655625,16,2,0,0,0,0,0,0,0,22,2017,113.330002,3430000,"Pre-Launch",0.5625,0.125
2017-06-01,2,11,98,7,28,3915,13809,1705,0,0,0,0,8,5,6,19,0.0175736842105263,19,6,0,0,0,0,0,0,0,22,2017,113.870003,2232700,"Pre-Launch",0.31578947368421,0.421052631578947
2017-06-02,3,7085,13102,1157,62,16173,38839,3911,0,0,0,0,83,82,116,2252,0.0889042857142857,280,1,0,1,1,0,0,0,0,22,2017,114.519997,1872600,"Pre-Launch",0.414285714285714,0.296428571428571
2017-06-03,1,224,814,45,111,10589,29707,2169,0,0,0,0,37,42,68,267,0.126543150684932,146,3,0,0,0,0,0,0,0,22,2017,NA,NA,"Pre-Launch",0.465753424657534,0.253424657534247
2017-06-04,3,5015,14005,748,30,5502,17874,1544,0,0,0,0,13,19,24,151,0.117707142857143,56,0,0,0,0,0,0,0,0,23,2017,NA,NA,"Pre-Launch",0.428571428571429,0.232142857142857
2017-06-05,9,25085,50062,2547,55,26039,56029,3183,0,0,0,0,65,66,111,2273,0.124712396694215,242,1,0,1,1,0,0,0,0,23,2017,114.690002,1879800,"Pre-Launch",0.458677685950413,0.268595041322314
2017-06-06,4,2493,7560,972,40,4960,17687,1565,4,106,1838,41,121,175,281,2043,0.173319237435009,577,3,0,0,0,0,0,0,0,23,2017,113.690002,2508400,"Pre-Launch",0.487001733102253,0.209705372616984
2017-06-07,9,3007,9263,649,54,4879,18469,1644,7,98,1266,31,101,133,150,3087,0.08953359375,384,3,0,0,0,0,1,0,0,23,2017,115.370003,2480100,"Pre-Launch",0.390625,0.263020833333333
2017-06-08,5,953,4056,188,31,7809,30822,1959,2,528,4267,203,153,109,181,3999,0.0307810383747178,443,5,0,1,0,0,0,0,0,23,2017,114.290001,3293900,"Pre-Launch",0.408577878103837,0.345372460496614
2017-06-09,9,3839,11345,668,50,9925,37774,2452,4,995,7393,259,78,79,136,2454,0.128835494880546,293,1,0,0,0,0,0,0,0,23,2017,110.459999,5738200,"Pre-Launch",0.464163822525597,0.266211604095563
2017-06-10,43,43754,101084,3781,165,53500,133723,5437,42,2262,24472,626,143,85,195,1950,0.079977304964539,423,3,0,2,3,0,0,0,0,23,2017,NA,NA,"Pre-Launch",0.460992907801418,0.33806146572104
2017-06-11,13,13031,16969,701,78,16633,31775,2210,7,457,3455,130,2775,2635,4908,104629,0.138672925288608,9182,0,0,1,0,0,0,0,0,24,2017,NA,NA,"Pre-Launch",0.53452406883032,0.302221738183402
2017-06-12,14,15064,43132,2325,71,18128,57766,3504,2,40,538,8,338,328,538,10174,0.113173182957393,1197,9,0,0,0,0,0,0,0,24,2017,108.900002,5836900,"Pre-Launch",0.449456975772765,0.282372598162072
2017-06-13,13,1290,7855,572,54,2210,13035,1067,5,91,1605,29,139,146,234,1446,0.117806756756757,518,4,0,0,0,0,0,1,0,24,2017,109.980003,2740000,"Pre-Launch",0.451737451737452,0.268339768339768
